UserName,Followers,Following,Profile Link,Bio,Is Verified,Is Private,Is Business Account
Meta,4572679,31,https://www.instagram.comhttps://about.meta.com/,Connect with what you love to make things happen. It’s Your World.,True,False,True
dilroowijesuriya,1790,1024,https://www.instagram.com/dilroowijesuriya/,"🍒💅🏼🎧👩🏻‍💻🍵🍓🍸🥭💆🏻‍♀️
australia | sri lanka 
dilroowijesuriya@gmail.com
tiktok : dilroowijesuriya
co founder- @outlawz.official",False,False,False
ellegoddes88,826,483,https://www.instagram.com/ellegoddes88/,Registered Nurse (Psych)👩🏻‍⚕️🩺  Brisbane 🇦🇺 Travelholic🛩,False,False,False
joeryan2pn,55940,1784,https://www.instagram.com/joeryan2pn/,"@venum athlete 🐍 
WBC World Champion 
ISKA World Champion
2X Rajadamnern champion 
2X WMO World champion 
2X WBC European Champion",True,False,False
kehlanichoreography,37001,284,https://www.instagram.com/kehlanichoreography/,"#1 dance source for singer/songwriter @kehlani🫀
All choreography updates & more! Not kehlani. 
“Crash” album + “Www2” mixtape out now!",False,False,False
jess.pmonteiro,5744,1153,https://www.instagram.com/jess.pmonteiro/,"Visit Ilha Grande ✨
🏡 Book at @psolardapraia 
🍴 Taste the best bbq and fresh seafood at @steaknbeach",False,False,True
australia,5842180,394,https://www.instagram.com/australia/,Tourism Australia's official account. Tag @Australia or #SeeAustralia to give us permission to repost 🐨🇦🇺,True,False,True
officialaha,342164,132,https://www.instagram.com/officialaha/,The official Instagram account for the Norwegian band a-ha. New album and film 'True North' out now!,True,False,True
taylorswift,281218963,0,https://www.instagram.com/taylorswift/,All’s fair in love and poetry... New album THE TORTURED POETS DEPARTMENT. Out now 🤍,True,False,False
sparkling.doll1,406,255,https://www.instagram.com/sparkling.doll1/,"Be your own kind of badass 🙂🙃
#Dreamer 🌷
#Believer 🪽
#augustdoll 🐰
🇳🇵🇦🇺  🎓 🦠 💍👰‍♀️ 🇸🇬",False,False,False
kel_8,28887,1528,https://www.instagram.com/kel_8/,"National Baller 🏀
📍🇦🇺Perth WA
🌍🇲🇺🇸🇨🇿🇦🇷🇪🇹🇭🇷🇸🇦🇺🇲🇬… 🛫",True,False,False
where_to_gonext,6771,6694,https://www.instagram.com/where_to_gonext/,"Here you can find best places, amazing pics and maiby your next destination.If you are interesting for people to gide you on your trip look in my bio",False,False,True
goodgegraham,661,31,https://www.instagram.com/goodgegraham/,,False,False,False
teanabroad,6417,1032,https://www.instagram.com/teanabroad/,"🌏 College study abroad & internships
✈️ Asia Pacific & Southeast Asia
👉 Affordable programs & scholarship options",False,False,True
perthvibes,166084,98,https://www.instagram.com/perthvibes/,"🇦🇺 Uncovering WA & Perth's best kept secrets!
📷 Tag #perthvibes | 🍔 @perthvibestodo",False,False,True
officialaha,342164,132,https://www.instagram.com/officialaha/,The official Instagram account for the Norwegian band a-ha. New album and film 'True North' out now!,True,False,True
qantas,1134358,1330,https://www.instagram.com/qantas/,"Official Instagram of Qantas Airways 🇦🇺✈️🦘
Member of the oneworld Alliance.
Use #Qantas to be featured 📸",True,False,True
powerofpositivity,9638180,1521,https://www.instagram.com/powerofpositivity/,"POSITIVITY⚡️ Boost Your Mood. Train Your Brain.🧠 Change Your Life. Founder: @positivekristen 
👇🏻Take our FREE 7 Day Self Care Challenge:",True,False,True
caherlistrane_gaa,1764,769,https://www.instagram.com/caherlistrane_gaa/,NEW YORK RAFFLE >>>,False,False,True
aifsabroad,14364,989,https://www.instagram.com/aifsabroad/,"🌍 Award-winning study abroad & international internship programs
⬇️ Request info, search programs, & more!",False,False,True
australia,5842179,394,https://www.instagram.com/australia/,Tourism Australia's official account. Tag @Australia or #SeeAustralia to give us permission to repost 🐨🇦🇺,True,False,True
redyindra,5133,1978,https://www.instagram.com/redyindra/,"📍BDO
Traveler ✈️ Hotel Blogger 🏨 Food Enthusiast🍽️
Part of @swj.ambassador @explore.powerclub 
#readyvacation #readyngotel
Business Inq DM✉️",False,False,False
visitperth,215270,522,https://www.instagram.com/visitperth/,"Explore Perth's unique attractions, architecture, retail and dining offers, outdoor spaces and so much more! Managed by the @cityofperth. #VisitPerth",True,False,True
thefloreatmarket,3856,4994,https://www.instagram.com/thefloreatmarket/,"Premium fresh produce, continental delicatessen, local & international cheeses, fresh fruit salads, gourmet condiments, artisan bread & fresh flowers.",False,False,True
australia,5842179,394,https://www.instagram.com/australia/,Tourism Australia's official account. Tag @Australia or #SeeAustralia to give us permission to repost 🐨🇦🇺,True,False,True
befitwithnoelle,936,217,https://www.instagram.com/befitwithnoelle/,"💪Kitchener Personal Trainer(Exp 20 years +)
Love Of Travel ✈️ Fashion And Fitness
Personal Training  ⤵️",False,False,False
phoelikz,1150,733,https://www.instagram.com/phoelikz/,FEEL’S TRAVELOGUE,False,False,False
backpackercars_australia,82763,453,https://www.instagram.com/backpackercars_australia/,"🇦🇺 We sell 4x4s / Vans to travel Aus
🚙 Equipment, Warranty and RWC
🛏️ Camper Fit-outs @luffare.aus
🚐 Rentals @bca.rentals
📥 DM us📍MEL / SYD / PER",False,False,False
celebrityfeet.cfg,6760,757,https://www.instagram.com/celebrityfeet.cfg/,"Discover a tasteful showcase of stunning female celebrities, celebrating elegance, charm, and timeless beauty in a refined and sophisticated way.",False,False,False
jummyparis,1347,459,https://www.instagram.com/jummyparis/,"I am a 🎶 Music lover 
🌿 a Dog&Plants mother 🧘a Discipline Yogi 
✈️ a World Traveler 🍛 a Food Enthusiastic and 📸 Almost a Photographer 🤩
Mrs.Paris",False,False,False
parawhoresl0vers,945,94,https://www.instagram.com/parawhoresl0vers/,"★ Your Hayley and paramore account!
★ @yelyahwilliams
★ @paramore 
★Posts almost every day!",False,False,False
cruzysuzy,189346,1636,https://www.instagram.com/cruzysuzy/,"Quokka Lover ❤️
Quokka Queen 👑
Quokka Whisperer 🐻
Providing Quality Quokka Qontent!
Fashion stylist who loves nature.",False,False,False
ciksharifah_,14857,5313,https://www.instagram.com/ciksharifah_/,"👩‍💻Independent Business Owner
✈️BE World Traveller Melbourne Aussie Nov Free vvip with BE International 
💪🏻Jom sama2 kita berjaya di BE
📱 whtsp Sha😍",False,False,True
westernaustralia,662589,1632,https://www.instagram.com/westernaustralia/,Share your awe-inspiring adventures travelling our region by using #WAtheDreamState & tagging @WesternAustralia!,True,False,True
nf_juz,3334,1351,https://www.instagram.com/nf_juz/,📍  KL 🇲🇾.                                                                #begrateful 🤍 Cherish Every Moment 🤍    🍉🕊️,False,False,False
fournine,91984,178,https://www.instagram.com/fournine/,"Real conversations for a bold generation 👄
Check out the Tea at Four podcast:",True,False,True
